experiment,detonation,file_create,image_load,net_connect,process_create,process_term,reg_create_key,reg_delete_key,reg_delete_value,reg_write,n_events,t_first,t_last,t_detonate,duration_s,dur_after_detonation_s,n_uniq_child,n_uniq_parent,n_uniq_cguid
E13458,1,6437,26190,0,484,473,625,0,0,622,34832,2024-08-23 22:59:53.074,2024-08-23 23:04:49.241,2024-08-23 22:59:53.074,296.167,296.167,4294,486,34832
E13459,1,0,9,0,0,0,0,0,0,0,10,2024-08-09 23:56:13.984,2024-08-09 23:56:14.024,2024-08-09 23:56:13.984,0.04,0.04,10,2,10
E13460,1,1,15,0,0,1,1,0,0,2,21,2024-05-19 18:55:58.403,2024-05-19 18:55:58.709,2024-05-19 18:55:58.403,0.306,0.306,18,2,21
E13461,1,115,105,0,1,0,1,0,0,4,227,2024-05-06 00:01:49.173,2024-05-06 00:02:06.239,2024-05-06 00:01:49.173,17.066,17.066,158,3,227
E13462,1,6,51,0,1,2,0,0,0,0,61,2024-05-06 09:49:09.187,2024-05-06 09:49:10.157,2024-05-06 09:49:09.187,0.97,0.97,58,3,61
E13463,1,3,28,0,1,1,0,0,0,0,34,2024-08-20 14:51:57.294,2024-08-20 14:51:57.429,2024-08-20 14:51:57.294,0.135,0.135,28,3,34
E13464,1,541,894,15,45,39,15,0,0,19,1569,2024-08-21 00:42:58.571,2024-08-21 00:47:39.005,2024-08-21 00:42:58.571,280.434,280.434,552,6,1569
E13465,1,479,35,0,0,0,8,0,0,8,531,2024-08-23 08:35:29.108,2024-08-23 08:39:59.693,2024-08-23 08:35:29.108,270.585,270.585,523,2,531
E13466,1,26,41,0,0,0,0,0,0,0,68,2024-05-17 20:29:13.758,2024-05-17 20:29:15.037,2024-05-17 20:29:13.758,1.279,1.279,65,2,68
E13467,1,62,224,0,7,8,0,0,0,0,302,2024-08-14 18:19:05.822,2024-08-14 18:19:06.782,2024-08-14 18:19:05.822,0.96,0.96,94,9,302
E13468,1,0,9,0,0,1,0,0,0,0,11,2024-08-12 16:52:27.781,2024-08-12 16:52:27.791,2024-08-12 16:52:27.781,0.01,0.01,10,2,11
E13469,1,60,224,0,7,7,23,0,0,28,350,2024-08-21 05:09:14.217,2024-08-21 05:09:14.857,2024-08-21 05:09:14.217,0.64,0.64,115,9,350
E13470,1,103,70,0,0,0,0,0,0,0,174,2024-05-05 05:30:26.847,2024-05-05 05:30:35.145,2024-05-05 05:30:26.847,8.298,8.298,144,2,174
E13471,1,2,9,0,0,1,0,0,0,0,13,2024-08-22 10:21:32.748,2024-08-22 10:21:33.171,2024-08-22 10:21:32.748,0.423,0.423,12,2,13
E13472,1,29,124,5,1,0,0,0,0,0,160,2024-08-24 05:25:20.236,2024-08-24 05:25:35.156,2024-08-24 05:25:20.236,14.92,14.92,104,3,160
E13473,1,541,796,13,41,31,16,0,0,13,1452,2024-08-23 22:02:36.060,2024-08-23 22:06:22.709,2024-08-23 22:02:36.060,226.649,226.649,461,7,1452
E13474,1,0,11,0,0,1,1,0,0,2,16,2024-05-20 04:27:57.322,2024-05-20 04:27:57.748,2024-05-20 04:27:57.322,0.426,0.426,13,2,16
E13475,1,1328,112,0,1,0,0,0,0,2,1444,2024-05-21 20:32:40.990,2024-05-21 20:32:44.425,2024-05-21 20:32:40.990,3.435,3.435,1419,3,1444
E13476,1,4,47,0,1,2,0,0,0,0,55,2024-05-06 09:58:19.669,2024-05-06 09:59:20.626,2024-05-06 09:58:19.669,60.957,60.957,40,3,55
E13477,1,52,100,3,1,2,111,0,0,0,270,2024-08-25 02:59:18.762,2024-08-25 02:59:25.164,2024-08-25 02:59:18.762,6.402,6.402,243,3,270
E13478,1,0,9,0,0,1,0,0,0,0,11,2024-08-24 10:12:09.219,2024-08-24 10:12:09.229,2024-08-24 10:12:09.219,0.01,0.01,10,2,11
E13479,1,0,0,0,7,4,0,0,0,0,12,2024-08-27 13:15:37.341,2024-08-27 13:15:41.125,2024-08-27 13:15:37.341,3.784,3.784,7,7,12
E13480,1,30,112,3,1,2,115,0,1,0,265,2024-05-16 21:10:46.333,2024-05-16 21:10:47.590,2024-05-16 21:10:46.333,1.257,1.257,231,3,265
E13481,1,0,15,0,0,1,1,0,0,2,20,2024-05-21 04:49:11.356,2024-05-21 04:49:12.233,2024-05-21 04:49:11.356,0.877,0.877,17,2,20
E13482,1,28,80,3,0,0,120,0,0,7,239,2024-08-28 00:21:58.396,2024-08-28 00:21:59.521,2024-08-28 00:21:58.396,1.125,1.125,228,2,239
E13483,1,430,35,0,0,0,10,0,0,11,487,2024-08-20 01:46:31.409,2024-08-20 01:51:08.551,2024-08-20 01:46:31.409,277.142,277.142,476,2,487
E13484,1,538,687,19,34,30,14,0,0,18,1341,2024-08-13 20:22:58.649,2024-08-13 20:23:53.969,2024-08-13 20:22:58.649,55.32,55.32,553,6,1341
E13485,1,6,38,0,1,2,0,0,0,0,48,2024-05-20 03:33:57.533,2024-05-20 03:33:58.380,2024-05-20 03:33:57.533,0.847,0.847,45,3,48
E13486,1,10,36,0,1,2,0,0,0,0,50,2024-08-21 02:10:30.718,2024-08-21 02:10:31.431,2024-08-21 02:10:30.718,0.713,0.713,38,3,50
E13487,1,0,17,0,0,1,0,0,0,0,19,2024-05-16 09:05:06.973,2024-05-16 09:05:06.986,2024-05-16 09:05:06.973,0.013,0.013,18,2,19
E13488,1,48,97,0,1,1,1,0,0,4,153,2024-05-03 22:40:02.366,2024-05-03 22:40:03.195,2024-05-03 22:40:02.366,0.829,0.829,110,3,153
E13489,1,15,47,0,0,1,0,0,0,0,64,2024-05-06 08:08:16.902,2024-05-06 08:08:17.703,2024-05-06 08:08:16.902,0.801,0.801,63,2,64
E13490,1,11,32,0,0,0,0,0,0,0,44,2024-05-21 13:46:41.138,2024-05-21 13:46:41.374,2024-05-21 13:46:41.138,0.236,0.236,43,2,44
E13491,1,25,398,0,17,17,1,0,0,5,464,2024-05-04 00:02:50.438,2024-05-04 00:03:16.521,2024-05-04 00:02:50.438,26.083,26.083,90,5,464
E13492,1,159,29,0,0,0,0,0,0,0,189,2024-05-20 01:00:55.697,2024-05-20 01:01:03.090,2024-05-20 01:00:55.697,7.393,7.393,114,2,189
E13493,1,72,120,3,1,2,111,0,0,0,310,2024-05-04 07:25:29.115,2024-05-04 07:25:31.370,2024-05-04 07:25:29.115,2.255,2.255,266,3,310
E13494,1,540,580,17,28,23,9,0,0,13,1211,2024-08-14 05:23:59.217,2024-08-14 05:24:44.602,2024-08-14 05:23:59.217,45.385,45.385,555,6,1211
E13495,1,0,0,0,292,277,0,0,0,0,570,2024-08-09 12:47:16.228,2024-08-09 12:47:49.372,2024-08-09 12:47:16.228,33.144,33.144,291,292,570
E13496,1,51,96,3,1,2,118,2,0,25,299,2024-08-14 04:04:53.129,2024-08-14 04:04:55.057,2024-08-14 04:04:53.129,1.928,1.928,250,3,299
E13497,1,13,32,0,0,0,0,0,0,1,47,2024-08-23 08:39:33.632,2024-08-23 08:39:33.886,2024-08-23 08:39:33.632,0.254,0.254,47,2,47
E13498,1,9,25,0,0,0,0,0,0,0,35,2024-08-09 21:01:09.246,2024-08-09 21:01:45.962,2024-08-09 21:01:09.246,36.716,36.716,35,2,35
E13499,1,0,20,0,0,1,0,0,0,0,22,2024-05-17 13:39:31.331,2024-05-17 13:39:31.351,2024-05-17 13:39:31.331,0.02,0.02,21,2,22
E13500,1,0,15,0,0,1,0,0,0,0,17,2024-05-16 17:11:41.490,2024-05-16 17:11:41.531,2024-05-16 17:11:41.490,0.041,0.041,16,2,17
E13501,1,1348,130,0,1,0,0,0,0,1,1481,2024-05-16 23:26:55.852,2024-05-16 23:26:59.106,2024-05-16 23:26:55.852,3.254,3.254,1394,3,1481
E13502,1,137,240,0,4,5,18,0,0,5,410,2024-05-16 09:32:22.047,2024-05-16 09:32:25.925,2024-05-16 09:32:22.047,3.878,3.878,239,6,410
E13503,1,20,43,0,0,0,0,0,0,0,64,2024-08-25 02:27:59.482,2024-08-25 02:28:01.378,2024-08-25 02:27:59.482,1.896,1.896,64,2,64
E13504,1,13,33,0,0,0,0,0,0,0,47,2024-05-18 10:44:48.142,2024-05-18 10:44:48.968,2024-05-18 10:44:48.142,0.826,0.826,47,1,47
E13505,1,31,101,3,1,2,119,1,1,20,280,2024-08-28 06:17:57.819,2024-08-28 06:17:59.461,2024-08-28 06:17:57.819,1.642,1.642,232,3,280
E13506,1,29,58,5,0,1,4,0,0,9,107,2024-08-25 01:29:54.899,2024-08-25 01:29:55.388,2024-08-25 01:29:54.899,0.489,0.489,91,2,107
E13507,1,0,16,0,0,0,0,0,0,0,17,2024-05-04 18:40:23.242,2024-05-04 18:40:23.254,2024-05-04 18:40:23.242,0.012,0.012,17,2,17
E13508,1,433,35,0,0,0,10,0,0,10,489,2024-08-28 22:35:53.613,2024-08-28 22:40:31.785,2024-08-28 22:35:53.613,278.172,278.172,479,2,489
E13509,1,365,2195,6,126,59,27,0,0,31,2810,2024-08-27 01:19:43.299,2024-08-27 01:24:21.542,2024-08-27 01:19:43.299,278.243,278.243,317,7,2810
E13510,1,92,197,6,2,3,222,0,0,0,523,2024-08-28 02:22:12.957,2024-08-28 02:22:16.287,2024-08-28 02:22:12.957,3.33,3.33,275,3,523
E13511,1,8,28,0,0,1,0,0,0,0,38,2024-05-16 23:20:49.527,2024-05-16 23:20:50.155,2024-05-16 23:20:49.527,0.628,0.628,37,2,38
E13512,1,0,0,0,0,0,0,0,0,0,1,2024-08-24 22:51:47.354,2024-08-24 22:51:47.354,2024-08-24 22:51:47.354,0.0,0.0,1,1,1
E13513,1,54,97,0,1,1,1,0,0,4,159,2024-05-09 04:58:41.801,2024-05-09 04:58:43.221,2024-05-09 04:58:41.801,1.42,1.42,116,3,159
E13514,1,4,55,0,2,3,0,0,0,0,65,2024-05-20 12:10:52.367,2024-05-20 12:10:53.224,2024-05-20 12:10:52.367,0.857,0.857,41,4,65
E13515,1,104,0,5,12,6,0,0,0,0,128,2024-08-21 05:42:09.689,2024-08-21 05:42:41.893,2024-08-21 05:42:09.689,32.204,32.204,86,7,128
E13516,1,2,30,0,0,1,0,0,0,0,34,2024-05-16 13:54:03.520,2024-05-16 13:56:03.554,2024-05-16 13:54:03.520,120.034,120.034,33,2,34
E13517,1,53,167,3,3,2,114,0,0,11,354,2024-08-24 19:47:27.138,2024-08-24 19:47:28.413,2024-08-24 19:47:27.138,1.275,1.275,257,5,354
E13518,1,7,23,0,0,0,0,0,0,0,31,2024-05-20 22:09:41.293,2024-05-20 22:09:42.188,2024-05-20 22:09:41.293,0.895,0.895,31,2,31
E13519,1,461,35,0,0,0,8,0,0,8,513,2024-08-27 00:00:05.494,2024-08-27 00:04:32.812,2024-08-27 00:00:05.494,267.318,267.318,505,2,513
E13520,1,1019,145,2,4,2,2,0,0,6,1181,2024-08-27 22:48:31.020,2024-08-27 22:53:08.791,2024-08-27 22:48:31.020,277.771,277.771,972,3,1181
E13521,1,52,65,0,0,0,0,0,0,0,118,2024-05-05 03:34:15.396,2024-05-05 03:34:17.206,2024-05-05 03:34:15.396,1.81,1.81,113,2,118
E13522,1,1,32,0,1,0,0,0,0,0,35,2024-05-05 13:16:14.132,2024-05-05 13:16:14.463,2024-05-05 13:16:14.132,0.331,0.331,31,3,35
E13523,1,13,30,0,0,1,2,0,0,8,55,2024-05-19 13:25:16.436,2024-05-19 13:25:17.051,2024-05-19 13:25:16.436,0.615,0.615,46,2,55
E13524,1,1,44,0,1,2,0,0,0,0,49,2024-05-20 11:13:29.218,2024-05-20 11:13:29.562,2024-05-20 11:13:29.218,0.344,0.344,46,3,49
E13525,1,4,33,0,1,2,0,0,0,0,41,2024-05-05 14:21:01.101,2024-05-05 14:21:01.916,2024-05-05 14:21:01.101,0.815,0.815,35,3,41
E13526,1,25,55,0,0,1,0,0,0,0,82,2024-08-27 05:25:29.532,2024-08-27 05:25:30.087,2024-08-27 05:25:29.532,0.555,0.555,77,2,82
E13527,1,32,65,0,1,0,0,0,0,0,99,2024-05-04 04:50:22.055,2024-05-04 04:50:23.412,2024-05-04 04:50:22.055,1.357,1.357,69,3,99
E13528,1,9,31,0,0,1,0,0,0,0,42,2024-05-19 00:21:40.764,2024-05-19 00:21:41.864,2024-05-19 00:21:40.764,1.1,1.1,41,2,42
E13529,1,7,34,0,0,1,0,0,0,0,43,2024-08-20 17:37:10.461,2024-08-20 17:37:11.096,2024-08-20 17:37:10.461,0.635,0.635,42,2,43
E13530,1,61,224,0,7,8,0,0,0,0,301,2024-08-21 00:45:15.132,2024-08-21 00:45:15.929,2024-08-21 00:45:15.132,0.797,0.797,93,9,301
E13531,1,63,111,3,1,2,111,0,0,0,292,2024-08-13 03:00:17.057,2024-08-13 03:00:19.256,2024-08-13 03:00:17.057,2.199,2.199,256,3,292
E13532,1,1,46,0,1,2,0,0,0,0,51,2024-05-19 17:52:39.766,2024-05-19 17:52:39.977,2024-05-19 17:52:39.766,0.211,0.211,48,3,51
E13533,1,9,27,0,0,0,0,0,0,0,37,2024-08-28 12:54:45.181,2024-08-28 12:55:01.211,2024-08-28 12:54:45.181,16.03,16.03,37,2,37
E13534,1,10,46,0,1,2,0,0,0,0,60,2024-05-20 01:41:46.138,2024-05-20 01:41:46.388,2024-05-20 01:41:46.138,0.25,0.25,43,3,60
E13535,1,69,59,0,1,1,0,0,0,1,132,2024-08-08 23:41:16.666,2024-08-08 23:45:35.541,2024-08-08 23:41:16.666,258.875,258.875,88,3,132
E13536,1,48,91,6,0,0,4,0,0,8,158,2024-05-05 00:11:33.642,2024-05-05 00:15:36.540,2024-05-05 00:11:33.642,242.898,242.898,145,2,158
E13537,1,27,44,0,0,0,0,0,0,0,72,2024-05-05 04:53:08.633,2024-05-05 04:53:10.301,2024-05-05 04:53:08.633,1.668,1.668,72,2,72
E13538,1,534,735,23,36,31,11,0,0,15,1386,2024-08-23 10:53:00.187,2024-08-23 10:53:45.378,2024-08-23 10:53:00.187,45.191,45.191,551,7,1386
E13539,1,835,147,4,2,1,1,0,0,0,991,2024-08-22 13:52:27.992,2024-08-22 13:55:17.565,2024-08-22 13:52:27.992,169.573,169.573,928,4,991
E13540,1,0,0,0,137,37,0,0,0,0,175,2024-08-26 09:25:54.712,2024-08-26 09:26:29.085,2024-08-26 09:25:54.712,34.373,34.373,137,137,175
E13541,1,3161,97,1574,1,0,4,0,0,8,4846,2024-08-27 19:39:56.718,2024-08-27 19:44:59.459,2024-08-27 19:39:56.718,302.741,302.741,1813,3,4846
E13542,1,76,77,0,1,1,2,0,0,2,160,2024-08-13 21:29:00.736,2024-08-13 21:29:06.474,2024-08-13 21:29:00.736,5.738,5.738,106,2,160
E13543,1,431,35,0,0,0,8,0,0,8,483,2024-08-22 10:32:59.688,2024-08-22 10:37:33.637,2024-08-22 10:32:59.688,273.949,273.949,475,2,483
E13544,1,0,11,0,0,1,0,0,0,0,13,2024-05-19 10:19:37.904,2024-05-19 10:19:37.934,2024-05-19 10:19:37.904,0.03,0.03,12,2,13
E13545,1,437,35,0,0,0,8,0,0,8,489,2024-08-14 04:05:47.450,2024-08-14 04:10:17.406,2024-08-14 04:05:47.450,269.956,269.956,481,2,489
E13546,1,5,36,0,0,1,0,0,0,0,43,2024-05-09 07:45:38.501,2024-05-09 07:45:39.397,2024-05-09 07:45:38.501,0.896,0.896,42,2,43
E13547,1,14,57,2,0,0,3,0,0,7,84,2024-08-14 20:43:35.640,2024-08-14 20:43:36.377,2024-08-14 20:43:35.640,0.737,0.737,79,2,84
E13548,1,549,1020,15,53,47,20,0,0,21,1726,2024-08-20 02:12:11.578,2024-08-20 02:13:10.776,2024-08-20 02:12:11.578,59.198,59.198,561,6,1726
E13549,1,74,83,1,0,0,8,0,0,17,184,2024-05-06 00:01:53.822,2024-05-06 00:01:55.988,2024-05-06 00:01:53.822,2.166,2.166,163,2,184
E13550,1,35,60,0,1,1,0,0,0,0,98,2024-05-05 21:05:02.389,2024-05-05 21:05:09.982,2024-05-05 21:05:02.389,7.593,7.593,57,2,98
E13551,1,1,40,0,1,2,0,0,0,0,45,2024-05-17 21:49:03.711,2024-05-17 21:49:04.446,2024-05-17 21:49:03.711,0.735,0.735,35,3,45
E13552,1,21,73,0,2,0,0,0,0,0,97,2024-08-24 20:26:14.876,2024-08-24 20:26:15.266,2024-08-24 20:26:14.876,0.39,0.39,45,3,97
E13553,1,1,48,0,1,2,0,0,0,0,53,2024-05-18 19:18:37.506,2024-05-18 19:18:37.710,2024-05-18 19:18:37.506,0.204,0.204,50,3,53
E13554,1,450,35,0,0,0,8,0,0,8,502,2024-08-27 11:00:14.853,2024-08-27 11:04:47.544,2024-08-27 11:00:14.853,272.691,272.691,494,2,502
E13555,1,988,145,2,4,2,1,0,0,0,1143,2024-08-25 21:54:50.729,2024-08-25 21:59:11.356,2024-08-25 21:54:50.729,260.627,260.627,939,3,1143
E13556,1,13,86,0,1,1,0,0,0,0,102,2024-05-06 04:17:49.510,2024-05-06 04:17:50.359,2024-05-06 04:17:49.510,0.849,0.849,76,3,102
E13557,1,0,11,0,0,1,0,0,0,0,13,2024-05-21 12:51:01.193,2024-05-21 12:51:01.223,2024-05-21 12:51:01.193,0.03,0.03,12,2,13
E13558,1,3,40,0,1,0,0,0,0,0,45,2024-08-21 09:17:16.559,2024-08-21 09:17:18.049,2024-08-21 09:17:16.559,1.49,1.49,44,3,45
E13559,1,0,11,0,0,1,0,0,0,0,13,2024-05-19 16:56:23.736,2024-05-19 16:56:23.759,2024-05-19 16:56:23.736,0.023,0.023,12,2,13
E13560,1,70,59,0,1,1,0,0,0,0,132,2024-08-26 09:54:10.634,2024-08-26 09:57:56.687,2024-08-26 09:54:10.634,226.053,226.053,88,3,132
E13561,1,56,108,3,1,2,111,0,0,0,282,2024-08-26 15:05:17.805,2024-08-26 15:05:19.701,2024-08-26 15:05:17.805,1.896,1.896,248,3,282
E13562,1,333,106,0,1,0,0,0,0,0,441,2024-05-16 07:18:16.492,2024-05-16 07:18:19.998,2024-05-16 07:18:16.492,3.506,3.506,270,3,441
E13563,1,12,27,0,0,0,0,0,0,0,40,2024-08-13 19:30:42.423,2024-08-13 19:30:42.950,2024-08-13 19:30:42.423,0.527,0.527,40,1,40
E13564,1,1,41,0,1,2,0,0,0,0,46,2024-05-16 11:07:51.559,2024-05-16 11:07:52.420,2024-05-16 11:07:51.559,0.861,0.861,43,3,46
E13565,1,12,24,0,0,0,0,0,0,0,37,2024-08-25 09:30:09.258,2024-08-25 09:30:09.639,2024-08-25 09:30:09.258,0.381,0.381,36,2,37
E13566,1,5,29,0,0,1,0,0,0,0,36,2024-08-22 21:19:54.690,2024-08-22 21:19:59.999,2024-08-22 21:19:54.690,5.309,5.309,34,2,36
E13567,1,452,35,0,0,0,10,0,0,10,508,2024-08-26 01:28:13.934,2024-08-26 01:32:51.284,2024-08-26 01:28:13.934,277.35,277.35,498,2,508
E13568,1,0,19,0,0,1,0,0,0,0,21,2024-05-17 23:32:33.423,2024-05-17 23:32:33.445,2024-05-17 23:32:33.423,0.022,0.022,20,2,21
E13569,1,48,97,0,1,1,1,0,0,4,153,2024-05-04 02:17:08.607,2024-05-04 02:17:09.717,2024-05-04 02:17:08.607,1.11,1.11,110,3,153
E13570,1,24,105,0,1,2,19,0,0,2,154,2024-05-17 16:51:04.477,2024-05-17 16:51:06.764,2024-05-17 16:51:04.477,2.287,2.287,149,3,154
E13571,1,46,91,6,0,0,4,0,0,8,156,2024-05-04 23:57:58.918,2024-05-05 00:02:01.301,2024-05-04 23:57:58.918,242.383,242.383,143,2,156
E13572,1,463,35,0,0,0,8,0,0,8,515,2024-08-22 19:32:25.866,2024-08-22 19:37:09.479,2024-08-22 19:32:25.866,283.613,283.613,507,2,515
E13573,1,1621,6536,0,343,317,2,0,0,1,8821,2024-08-22 10:28:46.365,2024-08-22 10:33:20.140,2024-08-22 10:28:46.365,273.775,273.775,1121,343,8821
E13574,1,715,3081,6,157,18,11,0,0,8,3997,2024-08-13 20:27:31.297,2024-08-13 20:30:42.430,2024-08-13 20:27:31.297,191.133,191.133,521,8,3997
E13575,1,13,26,0,0,0,0,0,0,0,40,2024-08-20 19:26:21.552,2024-08-20 19:26:22.551,2024-08-20 19:26:21.552,0.999,0.999,40,2,40
E13576,1,533,576,19,27,23,7,0,0,11,1197,2024-08-09 22:03:36.325,2024-08-09 22:08:13.498,2024-08-09 22:03:36.325,277.173,277.173,552,7,1197
E13577,1,38,49,0,0,0,0,0,0,0,88,2024-05-20 13:14:38.853,2024-05-20 13:14:39.613,2024-05-20 13:14:38.853,0.76,0.76,83,2,88
E13578,1,62,111,3,1,2,115,0,0,0,295,2024-08-24 07:44:32.084,2024-08-24 07:44:34.507,2024-08-24 07:44:32.084,2.423,2.423,259,3,295
E13579,1,8,49,0,1,0,0,0,0,0,59,2024-08-19 22:06:26.110,2024-08-19 22:06:27.340,2024-08-19 22:06:26.110,1.23,1.23,57,3,59
E13580,1,3,51,0,1,2,0,0,0,0,58,2024-05-18 06:10:01.852,2024-05-18 06:10:02.561,2024-05-18 06:10:01.852,0.709,0.709,55,2,58
E13581,1,3,32,0,0,1,0,0,0,0,37,2024-05-18 18:42:46.670,2024-05-18 18:42:47.738,2024-05-18 18:42:46.670,1.068,1.068,36,2,37
E13582,1,471,35,0,0,0,8,0,0,8,523,2024-08-13 02:39:10.549,2024-08-13 02:43:48.701,2024-08-13 02:39:10.549,278.152,278.152,515,2,523
E13583,1,0,9,0,0,1,0,0,0,0,11,2024-08-13 02:57:18.336,2024-08-13 02:57:18.348,2024-08-13 02:57:18.336,0.012,0.012,10,2,11
E13584,1,50,54,0,0,0,0,0,0,0,105,2024-08-14 20:53:41.301,2024-08-14 20:53:42.095,2024-08-14 20:53:41.301,0.794,0.794,105,2,105
E13585,1,12,46,14,0,0,2,0,0,0,75,2024-08-26 00:48:37.892,2024-08-26 00:53:00.101,2024-08-26 00:48:37.892,262.209,262.209,62,2,75
E13586,1,0,0,0,3,0,0,0,0,0,4,2024-08-21 09:56:37.310,2024-08-21 09:56:45.101,2024-08-21 09:56:37.310,7.791,7.791,3,2,4
E13587,1,0,11,0,0,1,0,0,0,0,13,2024-05-19 04:20:21.345,2024-05-19 04:20:21.367,2024-05-19 04:20:21.345,0.022,0.022,12,2,13
E13588,1,10,34,0,0,0,0,0,0,0,45,2024-08-23 14:52:50.176,2024-08-23 14:52:51.367,2024-08-23 14:52:50.176,1.191,1.191,45,2,45
E13589,1,0,20,0,0,1,0,0,0,0,22,2024-05-16 12:47:17.438,2024-05-16 12:47:17.459,2024-05-16 12:47:17.438,0.021,0.021,21,2,22
E13590,1,61,224,0,7,8,0,0,0,0,301,2024-08-09 20:04:34.753,2024-08-09 20:04:35.724,2024-08-09 20:04:34.753,0.971,0.971,92,9,301
E13591,1,2,24,0,0,1,0,0,0,0,28,2024-05-06 17:55:02.961,2024-05-06 17:55:03.458,2024-05-06 17:55:02.961,0.497,0.497,27,2,28
E13592,1,11,35,0,0,1,0,0,0,0,48,2024-05-06 09:53:09.287,2024-05-06 09:53:09.863,2024-05-06 09:53:09.287,0.576,0.576,47,2,48
E13593,1,4,50,0,1,2,0,0,0,0,58,2024-05-06 16:05:27.112,2024-05-06 16:05:27.223,2024-05-06 16:05:27.112,0.111,0.111,55,3,58
E13594,1,5,35,0,0,1,0,0,0,0,42,2024-05-17 12:20:27.735,2024-05-17 12:20:28.744,2024-05-17 12:20:27.735,1.009,1.009,41,2,42
E13595,1,11,55,0,1,2,1,0,0,0,71,2024-05-17 00:37:47.508,2024-05-17 00:37:48.045,2024-05-17 00:37:47.508,0.537,0.537,68,3,71
E13596,1,556,1212,20,63,55,22,0,0,26,1955,2024-08-23 04:50:25.563,2024-08-23 04:54:49.464,2024-08-23 04:50:25.563,263.901,263.901,560,7,1955
E13597,1,4,28,0,0,1,0,0,0,0,34,2024-05-06 01:48:27.128,2024-05-06 01:48:27.910,2024-05-06 01:48:27.128,0.782,0.782,33,2,34
E13598,1,5,39,0,1,2,0,0,0,0,48,2024-05-04 10:58:26.686,2024-05-04 10:58:26.930,2024-05-04 10:58:26.686,0.244,0.244,45,3,48
E13599,1,48,85,3,0,0,4,0,0,8,149,2024-05-04 21:52:26.895,2024-05-04 21:56:29.834,2024-05-04 21:52:26.895,242.939,242.939,139,2,149
E13600,1,0,0,0,369,311,0,0,0,0,681,2024-08-09 23:12:16.922,2024-08-09 23:12:52.975,2024-08-09 23:12:16.922,36.053,36.053,367,368,681
E13601,1,468,35,0,0,0,10,0,0,10,524,2024-08-23 04:48:53.831,2024-08-23 04:53:33.683,2024-08-23 04:48:53.831,279.852,279.852,514,2,524
E13602,1,0,3553,0,186,154,0,0,0,0,3894,2024-08-20 21:44:15.771,2024-08-20 21:44:25.358,2024-08-20 21:44:15.771,9.587,9.587,392,188,3894
E13603,1,27,92,16,1,1,3,0,0,7,148,2024-08-09 06:59:48.556,2024-08-09 07:04:57.800,2024-08-09 06:59:48.556,309.244,309.244,97,3,148
E13604,1,10,99,2,0,1,116,0,0,62,291,2024-05-06 02:32:03.252,2024-05-06 02:32:04.194,2024-05-06 02:32:03.252,0.942,0.942,225,2,291
E13605,1,72,59,0,1,1,0,0,0,0,134,2024-08-21 05:07:55.982,2024-08-21 05:11:57.497,2024-08-21 05:07:55.982,241.515,241.515,89,3,134
E13606,1,9,31,0,0,0,0,0,0,0,41,2024-08-24 17:12:04.750,2024-08-24 17:12:05.488,2024-08-24 17:12:04.750,0.738,0.738,41,2,41
E13607,1,479,35,0,0,0,8,0,0,8,531,2024-08-09 21:44:46.865,2024-08-09 21:49:26.717,2024-08-09 21:44:46.865,279.852,279.852,523,2,531
E13608,1,0,0,3,27,0,0,0,0,0,31,2024-08-24 08:30:35.550,2024-08-24 08:31:15.883,2024-08-24 08:30:35.550,40.333,40.333,7,5,31
E13609,1,68,59,0,1,1,0,0,0,0,130,2024-08-21 18:56:16.891,2024-08-21 18:59:19.458,2024-08-21 18:56:16.891,182.567,182.567,87,3,130
E13610,1,5086,108,3,1,1,0,0,0,0,5200,2024-08-09 22:39:08.446,2024-08-09 22:39:22.120,2024-08-09 22:39:08.446,13.674,13.674,2761,3,5200
E13611,1,911,46,26,0,0,2,0,0,0,986,2024-08-13 19:56:17.633,2024-08-13 20:01:20.422,2024-08-13 19:56:17.633,302.789,302.789,817,2,986
E13612,1,9642,400,0,7,3,28,1,1,40,10123,2024-08-20 12:50:32.966,2024-08-20 12:51:33.030,2024-08-20 12:50:32.966,60.064,60.064,5508,7,10123
E13613,1,13,463,0,17,18,4,0,0,0,516,2024-08-21 18:18:02.618,2024-08-21 18:20:04.867,2024-08-21 18:18:02.618,122.249,122.249,50,2,516
E13614,1,0,9,0,0,1,0,0,0,0,11,2024-08-22 00:14:17.790,2024-08-22 00:14:17.803,2024-08-22 00:14:17.790,0.013,0.013,10,2,11
E13615,1,100,165,6,1,2,233,2,0,25,535,2024-05-11 04:01:08.769,2024-05-11 04:01:21.365,2024-05-11 04:01:08.769,12.596,12.596,317,3,535
E13616,1,440,35,0,0,0,10,0,0,10,496,2024-08-13 23:25:37.343,2024-08-13 23:30:14.163,2024-08-13 23:25:37.343,276.82,276.82,486,2,496
E13617,1,528,576,15,27,23,8,0,0,13,1191,2024-08-13 09:33:36.473,2024-08-13 09:35:21.878,2024-08-13 09:33:36.473,105.405,105.405,548,7,1191
E13618,1,54,167,3,3,2,114,0,0,11,355,2024-08-14 01:00:00.676,2024-08-14 01:00:02.027,2024-08-14 01:00:00.676,1.351,1.351,259,5,355
E13619,1,7,44,0,1,2,0,0,0,0,55,2024-05-17 00:37:42.555,2024-05-17 00:37:43.590,2024-05-17 00:37:42.555,1.035,1.035,52,3,55
